model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
CDM,regressed,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,3.25716883560813,-25.00000000000008,-0.25976188583712384
CDM,regressed,BayesGPT_ModelClass,$v$ -- $u_2$ | $c_{1}$,3.425586669768882,316.88311688311717,-1.9425334354617017
CDM,regressed,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,-1.0070082506988491,-82.40917782026774,-0.17310941045024478
CDM,fixed_regressed,BayesGPT_Family,$v$,3.9672704844050637,5.381165919282689,-0.20182971619248283
CDM,fixed_regressed,BayesGPT_Family,$v_\theta$,-0.15877387247313887,-46.46464646464742,0.19830044869000565
CDM,fixed_regressed,BayesGPT_Family,$a$,14.332135367392354,107.89473684210499,-0.5337044100798652
CDM,fixed_regressed,BayesGPT_Family,$\tau$,16.134425894286775,-35.61643835616403,-0.7306520369437965
CDM,fixed_regressed,BayesGPT_Family,$v$ -- $u_1$ | $c_{1}$,16.00549111089401,-60.674157303371025,-1.3713019001466793
CDM,fixed_regressed,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,25.544486982594265,127.88461538461694,-0.11432933649270476
CDM,fixed_regressed,BayesGPT_Family,$v$ -- $u_2$ | $c_{1}$,9.199083977416278,10.43478260869606,-0.9439376908918892
CDM,fixed_regressed,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,30.894034342526634,137.66233766233765,-0.13858952595212376
CDM,fixed_regressed,BayesGPT_ModelClass,$v$,11.660837805105668,-25.53191489361718,-3.995114036230511
CDM,fixed_regressed,BayesGPT_ModelClass,$v_\theta$,10.796980056967,535.8490566037827,-2.465658218525596
CDM,fixed_regressed,BayesGPT_ModelClass,$a$,14.61373942633214,4.430379746835215,-1.2790751849973516
CDM,fixed_regressed,BayesGPT_ModelClass,$\tau$,6.138104649767879,517.0212765957419,-1.0738001363559708
CDM,fixed_regressed,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,8.071947554535047,171.42857142857252,-2.6984851469935185
CDM,fixed_regressed,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,6.261164312026272,-40.08438818565399,-0.2778401388121657
CDM,fixed_regressed,BayesGPT_ModelClass,$v$ -- $u_2$ | $c_{1}$,11.58066965252907,84.25196850393705,-2.572840127759334
CDM,fixed_regressed,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,6.348313909517845,22.950819672131274,-0.3219944968082009
CDM,interaction,BayesGPT_Family,$v$,9.128221307833522,-26.589595375722727,-1.8181031410798247
CDM,interaction,BayesGPT_Family,$v_\theta$,4.340597262363887,-30.366492146596798,-4.6759270144303455
CDM,interaction,BayesGPT_Family,$a$,20.008678091494044,165.38461538461507,-1.3005100488684633
CDM,interaction,BayesGPT_Family,$\tau$,24.143340344729683,358.8235294117683,-1.394538792491484
CDM,interaction,BayesGPT_Family,$s_v$,2.4382866585590772,-52.52525252525327,-25.885065465646495
CDM,interaction,BayesGPT_Family,$s_\tau$,45.73404172920789,-42.18750000000005,-7.79348343016099
CDM,interaction,BayesGPT_Family,$v$ -- $u_1$ | $c_{1}$,13.954920455789107,-36.49289099526064,-5.090011870923113
CDM,interaction,BayesGPT_Family,$v_\theta$ -- $u_1$ | $c_{1}$,11.232384255789436,-73.3096085409252,-3.440865792476322
CDM,interaction,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,22.663437004341542,86.90476190476302,-1.0993800087902914
CDM,interaction,BayesGPT_Family,$\tau$ -- $u_1$ | $c_{1}$,20.00601105337334,17.19745222929904,-0.3483274128431722
CDM,interaction,BayesGPT_Family,$s_v$ -- $u_1$ | $c_{1}$,8.20248881584009,-43.93305439330545,-25.632296996616997
CDM,interaction,BayesGPT_Family,$v$ -- $u_2$ | $c_{1}$,13.564155277647474,146.9135802469159,-4.211397305632372
CDM,interaction,BayesGPT_Family,$v_\theta$ -- $u_2$ | $c_{1}$,11.069887463360514,40.186915887850596,-4.477533272162743
CDM,interaction,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,45.021898530784945,74.49664429530198,-0.9889999137377993
CDM,interaction,BayesGPT_Family,$\tau$ -- $u_2$ | $c_{1}$,34.2912265306972,26.625386996903984,-0.25671040048545657
CDM,interaction,BayesGPT_Family,$v$ -- $u_1:u_2$ | $c_{1}$,17.168803413057983,11.486486486486774,-13.764919009007759
CDM,interaction,BayesGPT_Family,$v_\theta$ -- $u_1:u_2$ | $c_{1}$,10.36159498119195,196.7391304347856,-15.979774280129742
CDM,interaction,BayesGPT_Family,$a$ -- $u_1:u_2$ | $c_{1}$,39.78240109302918,126.66666666666691,-2.1946784258267984
CDM,interaction,BayesGPT_ModelClass,$v$,6.085800319996864,-44.881889763779725,-1.7228559521654938
CDM,interaction,BayesGPT_ModelClass,$v_\theta$,5.543134680442226,-29.323308270676577,-5.328720174601177
CDM,interaction,BayesGPT_ModelClass,$a$,6.259934894356371,-15.217391304348693,-0.6596930934161805
CDM,interaction,BayesGPT_ModelClass,$\tau$,6.478041959181419,-47.43589743589745,-0.3503426727457412
CDM,interaction,BayesGPT_ModelClass,$s_v$,0.2582451221208275,242.55319148936678,16.872991428771925
CDM,interaction,BayesGPT_ModelClass,$s_\tau$,-6.8698633711339,263.06306306306345,1.4424323104837549
CDM,interaction,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,2.2719592964694852,-46.26865671641793,-1.455307424900776
CDM,interaction,BayesGPT_ModelClass,$v_\theta$ -- $u_1$ | $c_{1}$,2.148513106135343,47.99999999999931,-3.894754640004283
CDM,interaction,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,-1.626551195738349,50.95541401273845,-0.2406028457035688
CDM,interaction,BayesGPT_ModelClass,$\tau$ -- $u_1$ | $c_{1}$,2.5687922435115538,-18.478260869565208,-0.11836594645508355
CDM,interaction,BayesGPT_ModelClass,$s_v$ -- $u_1$ | $c_{1}$,1.048176733673906,111.19402985074619,-6.600625778706475
CDM,interaction,BayesGPT_ModelClass,$v$ -- $u_2$ | $c_{1}$,2.57569570387099,85.99999999999997,-1.2935923636274476
CDM,interaction,BayesGPT_ModelClass,$v_\theta$ -- $u_2$ | $c_{1}$,4.67941082243796,130.6666666666669,-2.6280903391804906
CDM,interaction,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,-1.3699039073869945,-73.07692307692324,-0.28154572432167957
CDM,interaction,BayesGPT_ModelClass,$\tau$ -- $u_2$ | $c_{1}$,0.026032055989440424,-87.28606356968214,-0.1668997542004382
CDM,interaction,BayesGPT_ModelClass,$v$ -- $u_1:u_2$ | $c_{1}$,-0.17494239988252117,83.03030303030339,-1.4913243852545197
CDM,interaction,BayesGPT_ModelClass,$v_\theta$ -- $u_1:u_2$ | $c_{1}$,2.3480945780999316,64.46886446886452,-8.095190905868815
CDM,interaction,BayesGPT_ModelClass,$a$ -- $u_1:u_2$ | $c_{1}$,-1.5139025094623448,-55.51470588235305,-0.8348783385781681
