model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
RDM,regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$,7.058155367359056,-63.52040816326556,-10.132706577789447
RDM,regressed,BayesGPT_ModelClass,$a$,9.237732090848079,-55.81395348837206,-2.9520082757858086
RDM,regressed,BayesGPT_ModelClass,$\tau$,13.617686989296507,-0.9615384615383086,-0.32391895512365776
RDM,regressed,BayesGPT_ModelClass,$s_v$,1.0493824289822866,181.18811881188114,-10.946256660795568
RDM,regressed,BayesGPT_ModelClass,$s_\tau$,4.362531936330744,105.38461538461694,-3.703519102603511
RDM,regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,12.420941660385777,-38.19095477386971,-4.546191489830328
RDM,regressed,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,9.989475662358597,144.09448818897727,-0.42476328537146335
RDM,regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,5.824758201481818,-23.456790123456802,-3.878219011908999
RDM,regressed,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,11.629049176458746,-71.48594377510065,-0.33626167473348745
RDM,fixed_regressed,BayesGPT_Family,$v$,-9.26578919476552,-71.46666666666664,-5.083838131776775
RDM,fixed_regressed,BayesGPT_Family,$v_{\mathrm{diff}}$,-3.827789857410774,-77.28813559322036,-0.8874251723981583
RDM,fixed_regressed,BayesGPT_Family,$a$,-25.0114712343881,-78.63167760074977,-1.4030441784306023
RDM,fixed_regressed,BayesGPT_Family,$\tau$,-22.106401542464248,-95.24637681159423,-0.2572921229289105
RDM,fixed_regressed,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,-9.083516609246393,-79.8684210526316,-0.761547312557746
RDM,fixed_regressed,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,-18.03654834363119,-91.16117850953215,-0.10240461372777997
RDM,fixed_regressed,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,-9.330441780047487,-75.02903600464577,-0.2281485224406484
RDM,fixed_regressed,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,-9.922916152193347,-83.65650969529095,-0.08747330354710262
RDM,fixed_regressed,BayesGPT_ModelClass,$v$,7.995927496124007,-59.81308411214956,-9.218030616673506
RDM,fixed_regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$,8.201996389522774,204.47761194029778,-8.5262712129165
RDM,fixed_regressed,BayesGPT_ModelClass,$a$,9.148340399506534,-29.385964912280993,-3.6776323748310187
RDM,fixed_regressed,BayesGPT_ModelClass,$\tau$,9.754006939935985,262.19512195121894,-1.0471447071993811
RDM,fixed_regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,10.062103001754537,84.96732026143783,-4.73326572115734
RDM,fixed_regressed,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,13.3499037517583,396.07843137255406,-0.6059792849480604
RDM,fixed_regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,10.712083197372053,22.790697674418517,-4.664602916429351
RDM,fixed_regressed,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,12.030161223482894,184.7457627118655,-0.6226246021691325
RDM,interaction,BayesGPT_Family,$v$,2.0069292533852425,231.11111111111313,-6.144828234021994
RDM,interaction,BayesGPT_Family,$v_{\mathrm{diff}}$,3.92606529650097,-50.724637681159315,-0.4425282102922207
RDM,interaction,BayesGPT_Family,$a$,7.4742996229001015,26.785714285714167,-2.2112118081602263
RDM,interaction,BayesGPT_Family,$\tau$,6.951904774774025,147.05882352941356,-0.7820773209725955
RDM,interaction,BayesGPT_Family,$s_v$,2.952161562969712,-4.545454545454966,-13.17621051882608
RDM,interaction,BayesGPT_Family,$s_\tau$,16.33345758633159,25.000000000000934,-4.626239038746925
RDM,interaction,BayesGPT_Family,$v$ -- $u_1$ | $c_{1}$,11.40352794505133,-37.79069767441877,-7.7390727652994515
RDM,interaction,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,4.031800763719154,-1.0989010989017587,-1.42240267847123
RDM,interaction,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,12.713564091533222,102.81690140845133,-1.9304037351189605
RDM,interaction,BayesGPT_Family,$\tau$ -- $u_1$ | $c_{1}$,17.644259743311927,97.15909090909051,-0.022607116049803488
RDM,interaction,BayesGPT_Family,$s_v$ -- $u_1$ | $c_{1}$,5.778615831406463,523.5294117647068,-18.315718114549966
RDM,interaction,BayesGPT_Family,$v$ -- $u_2$ | $c_{1}$,11.064425339145394,-34.241245136186926,-12.301920138237582
RDM,interaction,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,6.269292859750456,88.15789473684198,-4.152669375141474
RDM,interaction,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,21.750031198999416,-2.3121387283237778,-2.622125384477746
RDM,interaction,BayesGPT_Family,$\tau$ -- $u_2$ | $c_{1}$,11.559828409451852,-32.81596452328163,-0.14248589434868214
RDM,interaction,BayesGPT_Family,$v$ -- $u_1:u_2$ | $c_{1}$,16.05097275517648,43.65079365079406,-11.01842602068028
RDM,interaction,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,8.383215828064076,24.41860465116245,-8.923386471297626
RDM,interaction,BayesGPT_Family,$a$ -- $u_1:u_2$ | $c_{1}$,47.59602129523566,374.3772241992886,-1.766720980533159
RDM,interaction,BayesGPT_ModelClass,$v$,2.251445630060332,-60.40268456375853,-12.514121980188667
RDM,interaction,BayesGPT_ModelClass,$v_{\mathrm{diff}}$,5.016772307244982,82.35294117647,-9.700232891796098
RDM,interaction,BayesGPT_ModelClass,$a$,5.114383551339891,43.6619718309861,-3.560582417274738
RDM,interaction,BayesGPT_ModelClass,$\tau$,8.554598717733382,33.809523809523846,-0.48954755439974246
RDM,interaction,BayesGPT_ModelClass,$s_v$,-1.9114237685314996,10.317460317460526,-16.69982132736604
RDM,interaction,BayesGPT_ModelClass,$s_\tau$,3.616158879332675,60.999999999999396,-1.577032302147332
RDM,interaction,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,-0.284865209742575,32.71028037383163,-12.447246222425584
RDM,interaction,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,4.3001041192492195,255.55555555555722,-5.717185714051826
RDM,interaction,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,4.3309274951925,-75.00000000000014,-1.9760014785110822
RDM,interaction,BayesGPT_ModelClass,$\tau$ -- $u_1$ | $c_{1}$,1.8557314610580922,-63.97694524495676,-0.08416296407864281
RDM,interaction,BayesGPT_ModelClass,$s_v$ -- $u_1$ | $c_{1}$,0.42899723038615933,-66.98113207547189,-18.61411174756184
RDM,interaction,BayesGPT_ModelClass,$v$ -- $u_2$ | $c_{1}$,2.5823285447474627,189.34911242603627,-9.12097833423219
RDM,interaction,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,4.265052418002064,29.370629370629487,-4.6724840556448495
RDM,interaction,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,6.4707356974571395,31.360946745562135,-1.434432705408795
RDM,interaction,BayesGPT_ModelClass,$\tau$ -- $u_2$ | $c_{1}$,8.008514844134625,-72.93729372937294,-0.18654596268137655
