model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
RDM,regressed,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,-4.440789768509217,-71.53110047846886,0.3854422867134321
RDM,regressed,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,-18.431031035869047,-80.09708737864081,-7.55303781032074e-05
RDM,regressed,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,-9.11192226963968,-87.3239436619718,-0.9865280964386087
RDM,regressed,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,-20.178954013565527,-95.08333333333336,-0.02975303577411402
RDM,regressed,BayesGPT_ModelClass,$v$,6.6969345995790235,54.33070866141784,-9.428315200048178
RDM,regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$,5.698858294100676,-51.25628140703536,-10.46364919423206
RDM,regressed,BayesGPT_ModelClass,$a$,8.059401562959263,17.708333333332902,-3.2921486810225495
RDM,regressed,BayesGPT_ModelClass,$\tau$,10.519220635766159,251.20000000000044,-0.28331960927323446
RDM,regressed,BayesGPT_ModelClass,$s_v$,1.4975012898806797,-40.186915887850574,-8.062699394611549
RDM,regressed,BayesGPT_ModelClass,$s_\tau$,-0.8089433371522011,88.80597014925488,-2.8511767251431714
RDM,regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,7.671155011448822,284.0336134453775,-3.4598255786051166
RDM,regressed,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,11.473676157386661,161.58536585365903,-0.42451757999243434
RDM,regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,8.324300261532406,184.84848484848422,-3.599584987451954
RDM,regressed,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,11.724034800699792,415.2542372881384,-0.37959025434041455
RDM,fixed_regressed,BayesGPT_Family,$v$,0.11876506776395754,-77.12264150943405,-3.242515712414351
RDM,fixed_regressed,BayesGPT_Family,$v_{\mathrm{diff}}$,-0.9017941773934942,-45.45454545454549,-0.6936626973321959
RDM,fixed_regressed,BayesGPT_Family,$a$,-3.0552985211470722,-72.22222222222224,-1.4383037550667468
RDM,fixed_regressed,BayesGPT_Family,$\tau$,-9.411513695881517,-94.6619217081851,0.004237884941246434
RDM,fixed_regressed,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.8126603967187043,-73.42799188640984,-1.035107643827555
RDM,fixed_regressed,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,-1.2373149369757446,-80.14059753954317,-0.04279014102263142
RDM,fixed_regressed,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,1.084828131321131,-71.13402061855686,-1.1714106090162186
RDM,fixed_regressed,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,-0.8928850955974438,-62.30529595015583,-0.13920973681835866
RDM,fixed_regressed,BayesGPT_ModelClass,$v$,6.705220602646784,103.09278350515496,-12.174899385078023
RDM,fixed_regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$,7.594665663372795,1.6666666666664154,-8.864603364164921
RDM,fixed_regressed,BayesGPT_ModelClass,$a$,9.602208028259357,-72.09302325581416,-3.0778441687261764
RDM,fixed_regressed,BayesGPT_ModelClass,$\tau$,8.732188032220934,301.33333333333616,-0.9439738394893978
RDM,fixed_regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,5.819646709158286,89.31297709923716,-5.125854975033517
RDM,fixed_regressed,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,12.258326653670926,267.2566371681426,-0.47214317911106546
RDM,fixed_regressed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,7.345540799846281,438.09523809524126,-2.989864230753282
RDM,fixed_regressed,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,14.2339607907631,421.4876033057862,-0.4481858758163528
RDM,interaction,BayesGPT_Family,$v$,2.3808811521455446,146.66666666666802,-7.280920247518025
RDM,interaction,BayesGPT_Family,$v_{\mathrm{diff}}$,3.922018871143779,-8.695652173912817,-1.4269851580403645
RDM,interaction,BayesGPT_Family,$a$,7.503257406155204,-60.71428571428574,-2.7542266563647866
RDM,interaction,BayesGPT_Family,$\tau$,7.733635441322332,128.23529411764903,-0.7309029171017739
RDM,interaction,BayesGPT_Family,$s_v$,3.272545135688801,3.030303030302545,-12.236115390394328
RDM,interaction,BayesGPT_Family,$s_\tau$,16.923476340896865,56.25000000000094,-3.534884068972904
RDM,interaction,BayesGPT_Family,$v$ -- $u_1$ | $c_{1}$,10.464434490034972,-52.325581395348905,-8.295488512387541
RDM,interaction,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,3.1041620809120367,-8.791208791209897,-1.2447423068060206
RDM,interaction,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,11.765998039868558,76.05633802816956,-1.7738312000602223
RDM,interaction,BayesGPT_Family,$\tau$ -- $u_1$ | $c_{1}$,16.522086335877187,185.22727272727295,-0.021004948024684455
RDM,interaction,BayesGPT_Family,$s_v$ -- $u_1$ | $c_{1}$,5.551031397731831,485.2941176470611,-18.57783135302435
RDM,interaction,BayesGPT_Family,$v$ -- $u_2$ | $c_{1}$,12.337206972064699,-31.51750972762676,-11.751716197843923
RDM,interaction,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,6.638244960072673,119.73684210526301,-3.51055670078881
RDM,interaction,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,21.5340046372741,4.62427745664754,-2.299591462611845
RDM,interaction,BayesGPT_Family,$\tau$ -- $u_2$ | $c_{1}$,11.315009884535874,-58.09312638580937,-0.11104727327519255
RDM,interaction,BayesGPT_Family,$v$ -- $u_1:u_2$ | $c_{1}$,15.631054587917063,74.60317460317498,-9.291653287537288
RDM,interaction,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,7.895263724199032,137.20930232558078,-9.699181577255665
RDM,interaction,BayesGPT_Family,$a$ -- $u_1:u_2$ | $c_{1}$,48.276795548342655,359.4306049822067,-1.3357747539053373
RDM,interaction,BayesGPT_ModelClass,$v$,2.0804698667497274,-35.135135135135066,-11.336454036943998
RDM,interaction,BayesGPT_ModelClass,$v_{\mathrm{diff}}$,4.665693638283467,65.07936507936515,-8.489937582809857
RDM,interaction,BayesGPT_ModelClass,$a$,4.715816144868629,206.81818181818247,-2.8255955543674354
RDM,interaction,BayesGPT_ModelClass,$\tau$,7.525892037259528,49.484536082474115,-0.47593473089582833
