id,rt,color,word,resp,session,congruent
6,0.815,0,2,0,0,0
6,0.697,2,0,2,0,0
6,0.465,2,2,2,0,1
6,0.945,1,0,1,0,0
6,1.202,0,2,0,0,0
6,0.759,1,0,1,0,0
6,0.464,1,1,1,0,1
6,0.547,0,0,0,0,1
6,1.052,1,0,1,0,0
6,0.968,1,2,1,0,0
6,0.643,2,2,2,0,1
6,0.7,2,0,2,0,0
6,0.559,0,2,0,0,0
6,0.804,0,1,0,0,0
6,0.614,0,2,0,0,0
6,0.895,1,0,1,0,0
6,0.734,0,1,0,0,0
6,0.7,2,2,2,0,1
6,0.568,2,2,2,0,1
6,0.544,2,2,2,0,1
6,0.795,2,0,2,0,0
6,0.674,1,2,2,0,0
6,1.001,2,1,2,0,0
6,0.732,0,1,0,0,0
6,0.745,2,0,2,0,0
6,0.709,1,1,1,0,1
6,1.059,1,1,1,0,1
6,0.901,2,2,2,0,1
6,0.744,2,2,2,0,1
6,0.795,2,2,2,0,1
6,1.012,1,1,1,0,1
7,0.562,0,0,0,0,1
7,0.626,1,1,1,0,1
7,0.858,0,2,0,0,0
7,0.66,0,1,1,0,0
7,0.57,2,2,2,0,1
7,0.53,0,1,0,0,0
7,0.889,2,0,2,0,0
7,0.602,2,2,2,0,1
7,0.831,2,0,2,0,0
7,0.559,1,1,1,0,1
7,0.624,2,1,2,0,0
7,0.874,1,1,1,0,1
7,0.393,0,0,0,0,1
7,0.626,2,0,2,0,0
7,0.619,0,0,0,0,1
7,0.653,2,1,1,0,0
7,0.62,0,0,0,0,1
7,1.116,1,1,0,0,1
7,0.974,2,1,2,0,0
7,1.076,0,2,0,0,0
7,0.868,2,1,2,0,0
7,0.539,1,1,1,0,1
7,0.765,0,2,0,0,0
7,0.852,0,1,0,0,0
7,0.901,0,2,0,0,0
7,0.686,0,0,0,0,1
7,0.817,2,1,2,0,0
7,1.014,0,0,0,0,1
7,1.081,1,1,0,0,1
7,0.497,1,1,1,0,1
7,0.531,0,1,0,0,0
7,0.85,1,1,1,0,1
7,0.874,2,0,2,0,0
7,1.117,0,0,0,0,1
7,0.876,2,2,2,0,1
7,0.811,2,2,2,0,1
7,0.571,1,1,1,0,1
7,0.964,1,0,1,0,0
7,0.529,0,0,0,0,1
7,0.6,1,1,1,0,1
7,0.751,1,0,1,0,0
7,1.025,0,0,0,0,1
7,1.08,1,0,1,0,0
7,0.593,2,0,2,0,0
7,0.596,0,0,0,0,1
7,0.729,1,2,1,0,0
7,0.552,2,2,2,0,1
7,0.626,0,1,0,0,0
7,0.661,2,0,2,0,0
7,0.643,1,0,1,0,0
7,0.523,2,2,2,0,1
7,0.691,0,0,0,0,1
7,0.815,1,1,1,0,1
7,1.261,1,2,1,0,0
7,0.404,1,1,1,0,1
7,0.716,2,2,2,0,1
7,0.758,0,0,0,0,1
7,0.604,2,2,2,0,1
7,0.995,2,2,2,0,1
7,0.683,1,2,1,0,0
7,0.789,2,2,2,0,1
7,0.379,1,0,1,0,0
7,0.571,0,0,0,0,1
7,0.948,1,0,1,0,0
7,0.63,2,2,2,0,1
7,0.525,2,2,2,0,1
7,0.622,0,2,0,0,0
7,0.968,2,1,2,0,0
7,0.567,1,1,1,0,1
7,0.791,0,1,0,0,0
7,0.775,2,1,2,0,0
7,0.97,1,2,1,0,0
7,1.041,2,0,2,0,0
7,0.817,0,2,0,0,0
7,0.762,2,0,2,0,0
7,0.805,0,1,1,0,0
7,0.595,0,1,0,0,0
7,0.713,1,2,1,0,0
7,0.633,2,2,2,0,1
7,0.963,1,0,1,0,0
7,0.803,2,2,2,0,1
7,0.883,1,2,1,0,0
7,0.676,1,0,1,0,0
7,0.653,0,0,0,0,1
7,1.269,2,1,2,0,0
7,0.782,1,2,1,0,0
7,0.936,2,2,2,0,1
7,0.974,0,2,0,0,0
7,0.599,0,0,0,0,1
7,0.48,1,1,1,0,1
7,0.633,1,1,1,0,1
7,0.84,1,2,1,0,0
7,0.481,0,0,0,0,1
7,0.594,1,1,1,0,1
7,0.589,0,2,0,0,0
8,0.785,1,0,1,0,0
8,0.57,0,0,0,0,1
8,0.907,1,0,1,0,0
8,0.964,2,0,2,0,0
8,0.762,0,2,0,0,0
8,0.682,2,2,2,0,1
8,0.546,2,2,2,0,1
8,0.787,1,0,1,0,0
8,0.811,0,2,0,0,0
8,0.692,0,0,0,0,1
8,0.629,1,1,1,0,1
8,0.533,0,0,0,0,1
8,0.594,1,1,1,0,1
8,0.591,0,0,0,0,1
8,0.863,1,1,1,0,1
8,0.556,1,1,1,0,1
8,1.06,1,2,1,0,0
8,0.82,1,1,1,0,1
8,0.765,0,2,0,0,0
8,0.561,0,0,0,0,1
8,0.561,1,1,1,0,1
8,1.02,1,2,1,0,0
8,0.588,0,0,0,0,1
8,1.021,0,2,1,0,0
8,0.83,2,0,2,0,0
8,0.884,1,2,1,0,0
8,0.829,0,2,0,0,0
8,0.598,1,1,1,0,1
8,0.719,2,1,2,0,0
8,0.937,0,1,0,0,0
8,0.888,1,0,1,0,0
8,0.762,2,2,2,0,1
8,0.74,0,0,0,0,1
8,0.548,0,0,0,0,1
8,0.766,2,0,2,0,0
8,0.829,0,2,0,0,0
8,0.808,0,1,0,0,0
8,0.742,2,0,2,0,0
8,1.078,2,1,2,0,0
8,0.685,2,2,2,0,1
8,0.492,0,1,0,0,0
8,0.669,1,2,1,0,0
8,1.06,2,1,2,0,0
8,0.693,2,2,2,0,1
8,0.613,1,1,1,0,1
8,0.523,2,2,2,0,1
8,0.607,1,1,1,0,1
8,0.998,2,1,2,0,0
8,0.79,2,2,2,0,1
8,1.008,1,0,1,0,0
8,0.793,1,2,1,0,0
8,1.187,1,1,1,0,1
8,1.051,2,0,2,0,0
8,0.795,1,1,2,0,1
8,1.018,1,2,1,0,0
8,0.948,2,0,2,0,0
8,0.653,0,0,0,0,1
8,0.87,1,0,1,0,0
8,1.001,0,0,0,0,1
8,0.662,0,0,0,0,1
8,0.841,1,0,1,0,0
8,0.849,2,1,2,0,0
8,0.538,2,2,2,0,1
8,0.94,0,1,0,0,0
8,0.937,2,0,2,0,0
8,0.839,0,0,0,0,1
8,0.53,0,0,0,0,1
8,0.636,2,2,2,0,1
8,0.733,2,2,2,0,1
8,1.173,1,2,1,0,0
8,0.741,2,2,2,0,1
8,0.525,0,1,0,0,0
8,0.567,0,2,0,0,0
8,0.607,2,2,2,0,1
8,0.79,0,1,0,0,0
8,0.709,0,0,0,0,1
8,0.559,0,0,0,0,1
8,0.719,1,1,1,0,1
8,0.585,2,2,2,0,1
8,0.634,0,0,0,0,1
8,0.645,1,1,1,0,1
8,0.555,2,2,2,0,1
8,0.514,2,2,2,0,1
8,0.636,1,1,1,0,1
8,0.915,2,0,2,0,0
8,0.642,2,2,2,0,1
8,0.779,1,2,1,0,0
8,1.22,0,1,0,0,0
8,1.128,0,1,0,0,0
8,0.699,2,1,2,0,0
8,0.793,0,2,0,0,0
8,0.657,1,1,1,0,1
8,0.842,1,0,1,0,0
8,0.533,1,1,1,0,1
9,0.799,0,2,0,0,0
9,0.672,2,2,2,0,1
9,0.604,2,2,2,0,1
9,0.616,1,1,1,0,1
9,0.588,1,1,1,0,1
9,0.646,2,1,2,0,0
9,0.487,2,0,2,0,0
9,0.718,1,0,1,0,0
9,0.639,1,2,1,0,0
9,0.686,2,0,2,0,0
9,0.737,1,1,1,0,1
9,0.551,0,0,0,0,1
9,0.629,1,1,1,0,1
9,0.877,0,1,0,0,0
9,0.589,0,2,0,0,0
9,0.662,2,0,2,0,0
9,0.484,2,2,2,0,1
9,0.544,0,1,0,0,0
9,0.608,2,1,2,0,0
9,0.548,0,0,0,0,1
9,0.75,1,0,1,0,0
9,0.503,0,0,0,0,1
9,0.449,0,0,0,0,1
9,0.825,2,0,2,0,0
9,0.443,2,2,2,0,1
9,0.965,0,0,0,0,1
9,0.669,0,1,0,0,0
9,0.607,1,1,1,0,1
9,0.724,0,2,0,0,0
9,0.531,0,1,0,0,0
9,0.372,2,2,2,0,1
9,0.439,2,2,2,0,1
9,0.461,2,2,2,0,1
9,0.572,0,2,0,0,0
9,0.588,1,2,2,0,0
9,0.651,0,2,0,0,0
9,0.745,2,2,2,0,1
9,0.78,2,0,2,0,0
9,0.506,2,1,2,0,0
9,0.69,1,1,1,0,1
9,0.541,2,1,2,0,0
9,0.51,0,2,0,0,0
9,0.858,1,0,1,0,0
9,0.643,1,1,1,0,1
9,0.612,0,0,0,0,1
9,0.758,1,0,1,0,0
9,0.55,0,0,0,0,1
9,0.557,1,1,1,0,1
