id,speed_condition,difficulty,resp_deviation,rt
2,1,3,-0.6145,0.48595
2,1,1,0.10522,1.0316
2,1,2,0.29043,0.81785
2,1,3,0.56409,1.2483
2,1,2,-0.32579,0.67521
2,1,1,-0.10983,0.68613
2,1,1,-0.15181,0.68831
2,1,2,0.10984,0.58862
2,1,2,-0.29361,0.68269
2,1,2,-0.041092,0.6011
2,1,3,-0.34579,0.84723
2,1,3,0.0085529,0.61308
2,1,3,-1.5313,0.7434
2,1,1,0.11376,0.62467
2,1,3,0.044399,0.64059
2,1,1,-0.4333,0.56808
2,1,1,-0.24558,0.62761
2,1,1,-0.36159,0.65615
2,1,2,-0.8007,0.73706
2,1,1,-0.018788,0.6391
2,1,3,-0.46238,1.0524
2,1,3,0.080184,0.60998
2,1,3,0.0028323,0.6889
2,1,2,-0.24681,0.97738
2,1,3,0.054632,1.132
2,1,2,-0.75776,0.57177
2,1,2,-0.19744,1.0891
2,1,3,-0.87968,0.69093
2,1,2,-0.069405,0.58815
2,1,1,0.0064211,0.56191
2,1,1,-0.097548,0.59582
2,1,3,0.59591,0.72005
2,1,1,0.057096,0.5695
2,1,2,0.55389,0.65608
2,1,1,-0.014194,0.69878
2,1,2,0.29466,0.61747
2,1,2,0.14246,0.66139
2,1,3,-0.75968,0.68501
2,0,1,-0.1628,0.68169
2,0,1,-0.10357,0.75991
2,0,3,0.35789,0.94306
2,0,3,-0.32687,0.74814
2,0,3,0.468,0.71884
2,0,2,-0.32885,1.2095
2,0,2,0.31366,0.73031
2,0,1,0.0036401,0.67333
2,0,3,-0.44169,0.97539
2,0,2,0.25197,0.71913
2,0,2,0.29881,0.68109
2,0,2,0.14743,0.98537
2,0,1,0.037882,0.72466
2,0,1,-0.047625,0.79321
2,0,3,-0.0022754,1.0003
2,0,2,-0.47743,0.97215
2,0,3,-0.42361,0.85811
2,0,1,0.017201,0.76384
2,0,1,-0.028199,0.78607
2,0,2,-0.38503,1.1167
2,0,2,0.037242,0.80032
2,0,1,-0.21086,0.74095
2,0,3,0.18678,0.86464
2,0,3,0.26743,0.65491
2,0,2,0.043577,0.72661
2,0,1,0.002477,0.73086
2,0,1,-0.016341,0.70595
2,0,2,-0.11423,0.82439
2,0,3,0.42053,0.8891
2,0,3,-0.071006,0.8743
2,0,2,0.095044,0.64137
2,0,1,0.14843,0.58397
2,0,2,0.06444,0.66711
